
State Machine - |experiment1|state
Name state.S_FINISH_FILL_SRAM state.S_FILL_SRAM_BLUE_SEGMENT_ODD state.S_FILL_SRAM_BLUE_SEGMENT_EVEN state.S_FILL_SRAM_GREEN_SEGMENT_SECOND state.S_FILL_SRAM_GREEN_SEGMENT_FIRST state.S_FILL_SRAM_RED_SEGMENT_SECOND state.S_FILL_SRAM_RED_SEGMENT_FIRST state.S_WAIT_NEW_PIXEL_ROW state.S_FETCH_PIXEL_DATA_3 state.S_FETCH_PIXEL_DATA_2 state.S_FETCH_PIXEL_DATA_1 state.S_FETCH_PIXEL_DATA_0 state.S_NEW_PIXEL_ROW_DELAY_5 state.S_NEW_PIXEL_ROW_DELAY_4 state.S_NEW_PIXEL_ROW_DELAY_3 state.S_NEW_PIXEL_ROW_DELAY_2 state.S_NEW_PIXEL_ROW_DELAY_1 state.S_IDLE 
state.S_IDLE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
state.S_NEW_PIXEL_ROW_DELAY_1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
state.S_NEW_PIXEL_ROW_DELAY_2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
state.S_NEW_PIXEL_ROW_DELAY_3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
state.S_NEW_PIXEL_ROW_DELAY_4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
state.S_NEW_PIXEL_ROW_DELAY_5 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
state.S_FETCH_PIXEL_DATA_0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
state.S_FETCH_PIXEL_DATA_1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
state.S_FETCH_PIXEL_DATA_2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
state.S_FETCH_PIXEL_DATA_3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
state.S_WAIT_NEW_PIXEL_ROW 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
state.S_FILL_SRAM_RED_SEGMENT_FIRST 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 
state.S_FILL_SRAM_RED_SEGMENT_SECOND 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
state.S_FILL_SRAM_GREEN_SEGMENT_FIRST 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
state.S_FILL_SRAM_GREEN_SEGMENT_SECOND 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
state.S_FILL_SRAM_BLUE_SEGMENT_EVEN 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
state.S_FILL_SRAM_BLUE_SEGMENT_ODD 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
state.S_FINISH_FILL_SRAM 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
